Planet Name,Planet Letter,Host Name,TIC ID,Gaia DR3 ID,Discovery Year,Discovery Method,Discovery Facility,Discovery Locale,Number of stars,Number of planets,Reference,ADS link,Last Updated,Planet Mass [Mjup],Planet Mass - Upper Unc [Mjup],Planet Mass - Lower Unc [Mjup],Relative Mass Error,Planet Msin(i) [Mjup],Planet Msin(i) - Upper Unc [Mjup],Planet Msin(i) - Lower Unc [Mjup],Planet Radius [Rjup],Planet Radius - Upper Unc [Rjup],Planet Radius - Lower Unc [Rjup],Relative Radius Error,Orbital Period [days],Orbital Period - Upper Unc [days],Orbital Period - Lower Unc [days],Orbit Semi-Major axis [au],Orbit Semi-Major axis - Upper Unc [au],Orbit Semi-Major axis - Lower Unc [au],Source of the Orbit Semi-Major axis,Eccentricity,Eccentricity - Upper Unc,Eccentricity - Lower Unc,Eccentricity Upper Limit Flag,Insolation Flux [Earth Flux],Insolation Flux - Upper Unc [Earth Flux],Insolation Flux - Lower Unc [Earth Flux],Equilibrium Temperature [K],Equilibrium Temperature - Upper Unc [K],Equilibrium Temperature - Lower Unc [K],Inclinaison [deg],Inclinaison - Upper Unc [deg],Inclinaison - Lower Unc [deg],Projected Obliquity [deg],Projected Obliquity - Upper Unc [deg],Projected Obliquity - Lower Unc [deg],Projected Obliquity Reference,Epoch of Periastron [days],Epoch of Periastron - Upper Unc [days],Epoch of Periastron - Lower Unc [days],Argument of Periastron [deg],Argument of Periastron - Upper Unc [deg],Argument of Periastron - Lower Unc [deg],Impact parameter,Impact parameter - Upper Unc,Impact parameter - Lower Unc,Source of the Impact parameter,Transit Depth [%],Transit Depth - Upper Unc [%],Transit Depth - Lower Unc [%],Source of the Transit Depth,Transit Duration [hrs],Transit Duration - Upper Unc [hrs],Transit Duration - Lower Unc [hrs],Transit Midpoint [days],Transit Midpoint - Upper Unc [days],Transit Midpoint - Lower Unc [days],Measured Radial Velocity Semi-Amplitude [m/s],Measured Radial Velocity Semi-Amplitude - Upper Unc [m/s],Measured Radial Velocity Semi-Amplitude - Lower Unc [m/s],Spectral Type,Stellar Effective Temperature [K],Stellar Effective Temperature - Upper Unc [K],Stellar Effective Temperature - Lower Unc [K],Stellar Radius [Rsun],Stellar Radius - Upper Unc [Rsun],Stellar Radius - Lower Unc [Rsun],Stellar Mass [Msun],Stellar Mass - Upper Unc [Msun],Stellar Mass - Lower Unc [Msun],Stellar Metallicity [dex],Stellar Metallicity - Upper Unc [dex],Stellar Metallicity - Lower Unc [dex],Stellar Metallicity Ratio,Stellar Luminosity [log(Lsun)],Stellar Luminosity - Upper Unc [log(Lsun)],Stellar Luminosity - Lower Unc [log(Lsun)],Stellar Surface Gravity [log(cm/s**2)],Stellar Surface Gravity - Upper Unc [log(cm/s**2)],Stellar Surface Gravity - Lower Unc [log(cm/s**2)],Stellar Age [Gyr],Stellar Age - Upper Unc [Gyr],Stellar Age - Lower Unc [Gyr],Stellar Rotational Velocity [km/s],Stellar Rotational Velocity - Upper Unc [km/s],Stellar Rotational Velocity - Lower Unc [km/s],Stellar Rotational Period [days],Stellar Rotational Period - Upper Unc [days],Stellar Rotational Period - Lower Unc [days],V Mag,V Mag - Upper Unc,V Mag - Lower Unc,J Mag,J Mag - Upper Unc,J Mag - Lower Unc,K Mag,K Mag - Upper Unc,K Mag - Lower Unc,Distance [pc],Distance - Upper Unc [pc],Distance - Lower Unc [pc],Right Ascension [deg],Right Ascension - Error [deg],Declinaison [deg],Declinaison - Error [deg],Parallax [mas],Parallax Error [mas],Radial Velocity [km/s],Radial Velocity - Error [km/s],Teff [K] (Gaia DR3),Teff - Upper Unc [K] (Gaia DR3),Teff - Lower Unc [K] (Gaia DR3),[Fe/H] [dex] (Gaia DR3),[Fe/H] - Upper Unc [dex] (Gaia DR3),[Fe/H] - Lower Unc [dex] (Gaia DR3),Stellar Luminosity [log(Lsun)] (Gaia DR3),Stellar Luminosity - Upper Unc [log(Lsun)] (Gaia DR3),Stellar Luminosity - Lower Unc [log(Lsun)] (Gaia DR3),log(g) [log(cm/s**2)] (Gaia DR3),log(g) - Upper Unc [log(cm/s**2)] (Gaia DR3),log(g) - Lower Unc [log(cm/s**2)] (Gaia DR3),Stellar Age [Gyr] (Gaia DR3),Stellar Age - Upper Unc [Gyr] (Gaia DR3),Stellar Age - Lower Unc [Gyr] (Gaia DR3),Expected Radial Velocity Semi-Amplitude [m/s] - Computation,Planet Density [g/cm**3] - Computation,Planet Density - Upper Unc [g/cm**3] - Computation,Planet Density - Lower Unc [g/cm**3] - Computation,Insolation Flux [Earth Flux] - Computation,Insolation Flux - Upper Unc [Earth Flux] - Computation,Insolation Flux - Lower Unc [Earth Flux] - Computation,Equilibrium Temperature [K] - Computation,Equilibrium Temperature - Upper Unc [K] - Computation,Equilibrium Temperature - Lower Unc [K] - Computation,Transmission Spectroscopy Metric (TSM) - Computation,Emission Spectroscopy Metric (ESM) - Computation
HD 73583 c,c,HD 73583,1,5,2022,Transit,Transiting Exoplanet Survey Satellite (TESS),Space,1,2,Barragan et al. 2021,https://ui.adsabs.harvard.edu/abs/2021arXiv211013069B/abstract,2022-03-16,0.03052,0.00566,0.00535,0.1803735255570117,0.03052,0.00566,0.00535,0.213,0.009,0.008,0.0399061032863849,18.87974,0.00086,0.00074,0.1242,0.0055,0.0054,Reference,0.08,0.11,0.06,0,10.2,1.2,1.1,498.0,15.0,15.0,89.72,0.2,0.27,,,,Reference,,,,-41.6,52.8,47.7,0.21,0.23,0.15,Reference,0.113,0.012,0.011,Reference,3.67,0.09,0.102,2459232.1682,0.0019,0.0024,2.89,0.53,0.51,K5V,4511.0,110.0,110.0,0.65,0.02,0.02,0.73,0.02,0.02,0.0,0.09,0.09,[Fe/H],,,,4.62,0.12,0.12,0.48,0.19,0.19,3.5,0.5,0.5,12.2,0.2,0.2,9.67,0.03,0.03,7.649,0.026,0.026,6.948,0.024,0.024,31.545799255371094,0.0223007202148437,0.0231990814208984,129.68829349261745,0.0110711054876446,-13.256521320044769,0.0088542150333523,31.6568804556522,0.0151680270209908,20.45565223693848,0.1504842489957809,4462.21923828125,2.82568359375,4.4267578125,0.0619000010192394,0.0190999992191791,0.0372000001370906,-0.7381430268287659,0.0117426541470857,0.012063967064023,4.58080005645752,0.002699851989746,0.0047998428344726,13.185688018798828,0.3143119812011719,2.861395835876465,2.89,3.9165516548421886,0.8797933760872144,0.81614952100173,11.89,1.07,1.04,517.0,12.0,11.0,63.88672208878857,3.732280583654683
HD 77946 b,b,HD 77946,3,1,2024,Transit,Transiting Exoplanet Survey Satellite (TESS),Space,1,1,Palethorpe et al. 2024,https://ui.adsabs.harvard.edu/abs/2024MNRAS.tmp..733P/abstract,2024-03-25,0.02637,0.00415,0.00415,0.1573758058399696,0.02635,0.00415,0.00415,0.241,0.008,0.007,0.0311203319502074,6.527282,1.5e-05,2e-05,0.072,0.0012,0.0012,Reference,0.233,0.064,0.079,0,,,,,,,87.79,1.31,1.05,,,,Reference,,,,,,,0.373,0.193,0.231,Reference,0.036,0.002,0.002,Reference,3.551,0.272,0.324,2459587.474,0.0013,0.0008,2.66,0.4,0.41,F9V,6046.0,50.0,50.0,1.31,0.01,0.01,1.17,0.06,0.05,0.18,0.05,0.05,[M/H],,,,4.3,0.07,0.07,3.85,1.26,1.61,,,,13.56,0.26,0.28,8.99,0.03,0.03,7.904,0.02,0.02,7.622,0.02,0.02,99.00920104980467,1.02099609375,0.3505020141601562,136.77763007712142,0.0187523663043975,46.67241947506836,0.0163185764104127,10.06929678659593,0.0234712157398462,42.547096252441406,0.3620651364326477,5952.1640625,12.88818359375,2.4697265625,-0.0171000007539987,0.0129000004380941,0.0066999997943639,0.3081904053688049,0.0027581499823846,0.00236027687788,4.251399993896484,0.0022001266479492,0.0046000480651855,5.937797546386719,0.7472348213195801,0.7607674598693848,2.65,2.3362383131427404,0.4350946966163468,0.4202631610433868,403.32,14.91,15.6,1247.0,12.0,12.0,56.55322227712524,5.614207104811334
HD 80606 b,b,HD 80606,4,1,2001,Radial Velocity,Multiple Observatories,Ground,2,1,Pont et al. 2009,http://adsabs.harvard.edu/abs/2009A&A...502..695P,2018-04-25,3.94,0.11,0.11,0.0279187817258883,3.93972,0.10999,0.10999,0.98,0.03,0.03,0.0306122448979591,111.4357,0.0008,0.0008,0.449,0.006,0.006,Reference,0.9332,0.0008,0.0008,0,,,,,,,89.32,0.06,0.06,42.0,8.0,8.0,Hebrard et al. 2010,2454424.852,0.008,0.008,300.8,0.22,0.22,0.75,0.06,0.06,Reference,1.056,0.068,0.068,Reference,11.9,1.3,1.3,2454876.316,0.023,0.023,,,,G8V,5440.0,110.0,110.0,0.98,0.01,0.01,0.97,0.04,0.04,,,,,,,,,,,,,,,,,,,,9.06,0.03,0.03,7.702,0.03,0.03,7.316,0.02,0.02,65.8727035522461,0.08709716796875,0.083404541015625,140.65696231986905,0.0127405673265457,50.60377794926782,0.0114343389868736,15.14390290928666,0.0169662740081548,3.786961555480957,0.1628340780735016,5471.78662109375,2.37353515625,1.29150390625,0.2809000015258789,0.0054999887943267,0.0038999915122985,-0.0265817437320947,0.0024924352753539,0.0025017005391418,4.34149980545044,0.0017004013061523,0.0016999244689941,,,,471.42,5.19130008966333,0.4982957003735584,0.4982957003735584,12.98,0.36,0.36,528.0,4.0,4.0,19.287838751817027,25.175049067021536
HD 80653 b,b,HD 80653,5,6,2020,Transit,K2,Space,1,2,Bonomo et al. 2023,https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract,2023-04-17,0.018,0.00113,0.0011,0.0619444444444444,0.01783,0.00112,0.00109,0.144,0.006,0.006,0.0416666666666666,0.719573,2.1e-05,2.1e-05,0.01661,0.00019,0.00019,Reference,0.0,,,0,6130.0,310.0,310.0,2463.0,30.0,30.0,82.1,2.4,2.4,,,,Reference,,,,,,,0.402,0.122,0.122,Reference,0.015,0.001,0.001,Reference,,,,2458134.4244,0.0007,0.0007,3.62,0.21,0.21,G0V,5959.0,61.0,61.0,1.22,0.01,0.01,1.18,0.04,0.04,0.255,0.065,0.065,[Fe/H],,,,,,,2.67,1.2,1.2,,,,19.8,0.5,0.5,9.452,0.003,0.003,8.315,0.023,0.023,8.018,0.021,0.021,107.18250274658205,0.2671966552734375,0.2681045532226562,140.33907970233588,0.0172849837690591,14.367867248047087,0.0131078772246837,9.259962146553995,0.022291274741292,8.396215438842773,0.1951709687709808,5817.8134765625,10.2197265625,5.8291015625,0.147599995136261,0.0099000036716461,0.0073999911546707,0.1981635391712188,0.0026720063968665,0.0025891470722854,4.26800012588501,0.0046000480651855,0.0036001205444335,9.112150192260742,1.0082473754882812,1.0195302963256836,3.62,7.475550310120572,1.0456702235985798,1.0401380850051485,5720.37,131.76,131.7,2421.0,14.0,14.0,32.74029545686303,5.6602294304483545
HD 86226 c,c,HD 86226,2,5,2020,Transit,Transiting Exoplanet Survey Satellite (TESS),Space,1,2,Teske et al. 2020,http://adsabs.harvard.edu/abs/2020AJ....160...96T,2020-08-06,0.02281,0.00374,0.00352,0.1591407277509864,0.02277,0.00373,0.00351,0.193,0.007,0.007,0.0362694300518134,3.98442,0.00018,0.00018,0.049,0.001,0.001,Reference,0.075,0.065,0.048,0,,,,1311.0,28.0,28.0,86.45,0.26,0.16,,,,Reference,,,,196.0,60.0,90.0,0.63,0.06,0.08,Reference,0.036,0.003,0.003,Reference,3.12,0.12,0.05,2458543.2539,0.0007,0.0007,,,,G1V,5863.0,88.0,88.0,1.05,0.03,0.03,1.02,0.06,0.07,0.018,0.057,0.043,[Fe/H],0.072,0.013,0.011,4.4,0.03,0.03,4.6,3.7,2.7,,,,,,,7.93,0.03,0.03,6.839,0.019,0.019,6.463,0.023,0.023,45.48910140991211,0.0625,0.0583000183105468,149.12348839018367,0.0223343856632709,-24.099179371118908,0.0194012280553579,21.930073931594904,0.0266631469130516,19.61994743347168,0.1457956433296203,5805.1826171875,2.04296875,1.791015625,-0.2813999950885772,0.0185000002384185,0.020000010728836,0.0723265632987022,0.002098394129686,0.0021398896351456,4.300300121307373,0.0027999877929687,0.0025000572204589,6.813534259796143,1.024158000946045,1.0259709358215332,2.9,3.934698847063096,0.7742780177560725,0.7429538330672913,493.35,20.31,20.24,1312.0,14.0,13.0,89.80372962312495,10.873726692698533
HD 88986 b,b,HD 88986,1,7,2023,Radial Velocity,Haute-Provence Observatory,Ground,1,1,Heidari et al. 2023,https://ui.adsabs.harvard.edu/abs/2023arXiv231113513H/abstract,2023-12-04,0.05412,0.01259,0.01196,0.2268107908351811,0.05412,0.01259,0.01196,0.222,0.016,0.016,0.072072072072072,146.05,0.43,0.4,0.58,0.04,0.04,Reference,0.24,0.05,0.05,0,,,,460.0,8.0,8.0,89.9,0.1,0.1,,,,Reference,,,,306.0,10.0,11.0,0.21,0.17,0.14,Reference,0.022,0.003,0.003,Reference,,,,2458891.69,0.003,0.003,1.85,0.34,0.34,G1V,5861.0,17.0,17.0,1.54,0.01,0.01,1.25,0.05,0.05,0.06,0.02,0.02,[Fe/H],,,,4.16,0.03,0.03,7.9,1.3,1.3,3.3,1.0,1.0,25.0,8.0,6.0,6.46974,0.023,0.023,5.247,0.024,0.024,4.884,0.02,0.02,33.36759948730469,0.040802001953125,0.0396995544433593,154.116676480626,0.0174034312367439,28.68205757449912,0.0186098087579011,29.986416229036667,0.020527921617031,29.02654838562012,0.1301508694887161,5691.75439453125,2.0595703125,2.12744140625,-0.2737999856472015,0.021399974822998,0.0157000124454498,0.3899861872196197,0.0011597080066499,0.0011151841608807,3.986799955368042,0.0032999515533447,0.0039000511169433,9.323036193847656,0.8883466720581055,0.8910245895385742,1.86,6.134186902609935,1.948188428471612,1.8965077202918077,7.52,1.04,1.04,461.0,16.0,16.0,19.58633210663936,0.8955611718476515
HD 89345 b,b,HD 89345,3,3,2018,Transit,K2,Space,1,1,Yu et al. 2018,http://adsabs.harvard.edu/abs/2018AJ....156..127Y,2018-08-21,0.11,0.017,0.018,0.1590909090909091,0.11,0.017,0.018,0.66,0.028,0.03,0.0439393939393939,11.8143,0.0002,0.0002,0.1066,0.0012,0.0014,Reference,0.22,0.095,0.13,0,,,,1089.0,15.0,16.0,87.21,0.43,0.22,,,,Reference,2457911.3,1.5,0.89,-13.0,58.0,27.0,0.645,0.089,0.15,Reference,0.1509,0.0085,0.0091,Reference,5.7336,0.0384,0.0384,2457913.8052,0.0011,0.001,,,,G6V,5576.0,73.0,76.0,1.75,0.05,0.05,1.16,0.04,0.04,0.421,0.046,0.054,[Fe/H],0.425,0.024,0.027,4.02,0.03,0.03,7.53,1.3,0.99,2.6,0.5,0.5,,,,9.38,0.03,0.03,8.091,0.02,0.02,7.721,0.018,0.018,130.47950744628906,0.344696044921875,0.510406494140625,154.67109851528122,0.016122194007039,10.128840557054852,0.0123214935883879,7.612480090104123,0.0173878241330385,2.564244508743286,0.1746138483285904,5625.63330078125,1.88720703125,1.40185546875,0.2073000073432922,0.0046999901533126,0.0051000118255615,0.4120804965496063,0.0056255408574598,0.0038669230416417,4.141300201416016,0.0020999908447265,0.0013999938964843,9.356104850769045,0.869537353515625,0.8745937347412109,9.11,0.4744812097663307,0.0949942246762734,0.1010677285854894,232.99,7.44,9.34,1087.0,9.0,11.0,113.89701923112328,19.017682841389373
HD 93963 A c,c,HD 93963 A,3,7,2022,Transit,Transiting Exoplanet Survey Satellite (TESS),Space,2,2,Serrano et al. 2022,https://ui.adsabs.harvard.edu/abs/2022arXiv220713920S/abstract,2022-08-01,0.06041,0.0129,0.0129,0.2135408045025658,0.06028,0.01287,0.01287,0.288,0.005,0.005,0.0173611111111111,3.6451398,1.06e-05,1.42e-05,0.04813,0.00085,0.00085,Reference,0.0,,,0,543.8,29.4,27.6,1344.0,18.0,18.0,86.31,0.19,0.19,,,,Reference,,,,,,,0.64,0.026,0.026,Reference,0.08052,0.00255,0.00255,Reference,2.268,0.045,0.042,2458902.87274,0.001,0.00095,7.5,1.6,1.6,F9.5V,5987.0,64.0,64.0,1.04,0.01,0.01,1.11,0.04,0.04,0.1,0.04,0.04,[Fe/H],0.098,0.02,0.021,4.49,0.11,0.11,1.4,0.8,0.4,5.9,0.8,0.8,12.8,1.8,1.8,9.182,0.003,0.003,8.108,0.034,0.034,7.776,0.024,0.024,82.05139923095703,0.38580322265625,0.1511993408203125,162.77668261825656,0.0133912479504942,25.6410618560591,0.0132355140522122,12.150601874643645,0.0171287599951028,13.366902351379396,0.161564826965332,5846.19921875,5.31689453125,1.986328125,-0.1275999993085861,0.0064999982714653,0.0066999942064285,0.077268399298191,0.0023318431318091,0.0022537799086421,4.342899799346924,0.0026001930236816,0.003699779510498,5.463187217712402,0.9608263969421388,0.968369483947754,7.42,3.136097182183221,0.6893163636039032,0.6893163636039032,515.75,18.26,18.25,1326.0,12.0,12.0,65.73208263551648,13.410052322885374
HD 95338 b,b,HD 95338,3,5,2020,Radial Velocity,Las Campanas Observatory,Ground,1,1,Diaz et al. 2020,http://adsabs.harvard.edu/abs/2020MNRAS.496.4330D,2020-07-17,0.13353,0.00698,0.00654,0.0506253276417284,0.13353,0.00698,0.00654,0.347,0.017,0.018,0.0504322766570605,55.087,0.02,0.02,0.262,0.002,0.002,Reference,0.197,0.029,0.024,0,7.42,0.22,0.22,385.0,17.0,17.0,89.57,0.09,0.05,,,,Reference,,,,23.42,11.53,11.99,0.43,0.07,0.113,Reference,0.168,0.023,0.023,Reference,,,,2458585.2795,0.0006,0.0006,,,,K1V,5212.0,16.0,11.0,0.87,0.04,0.04,0.83,0.02,0.02,0.04,0.1,0.1,[Fe/H],-0.31,0.009,0.009,4.54,0.21,0.21,5.08,2.51,2.51,1.23,0.28,0.28,,,,8.62,0.03,0.03,7.099,0.024,0.024,6.591,0.018,0.018,36.96070098876953,0.1232986450195312,0.0362014770507812,164.8562310833381,0.0145652927458286,-56.62357296702674,0.0128819001838564,27.052074733195184,0.0168240051716566,96.52384948730467,0.1406643390655517,5075.654296875,1.3681640625,1.22607421875,0.0766000002622604,0.0069999992847442,0.006300002336502,-0.3258943557739258,0.0046068560485674,0.0046550934202969,4.487800121307373,0.0007996559143066,0.0016002655029296,,,,8.3,3.9632235001974543,0.6182353149549122,0.6465799590179909,7.02,0.12,0.12,453.0,2.0,2.0,40.41114833720343,3.352070141665744
HD 97658 b,b,HD 97658,8,3,2010,Radial Velocity,W. M. Keck Observatory,Ground,1,1,Ellis et al. 2021,http://adsabs.harvard.edu/abs/2021AJ....162..118E,2021-08-10,0.02611,0.00346,0.00346,0.1325162772883952,0.02611,0.00346,0.00346,0.189,0.005,0.005,0.0264550264550264,9.4897116,8e-07,8e-07,0.0831,0.00261,0.00261,Reference,0.05,0.04,0.03,0,,,,751.0,12.0,12.0,89.05,0.41,0.24,,,,Reference,,,,,,,0.39,0.11,0.18,Reference,0.0712,0.0038,0.0038,Reference,,,,2458904.9366,0.0008,0.0008,,,,K1V,5212.0,43.0,43.0,0.73,0.01,0.01,0.85,0.08,0.08,-0.23,0.03,0.03,[Fe/H],-0.455,0.009,0.009,4.64,0.04,0.04,3.9,2.6,2.03,,,,,,,7.76,0.03,0.03,6.203,0.023,0.023,5.734,0.018,0.018,21.511199951171875,0.039499282836914,0.0636005401611328,168.63764182700731,0.0206406936049461,25.71060296527337,0.0221483148634433,46.376322943252845,0.0221300162374973,-1.822304606437683,0.1437596082687378,5053.02880859375,5.06787109375,22.8447265625,-0.5257999897003174,0.0974999964237213,0.194700002670288,-0.4394499361515045,0.0067204570052694,0.0061633582226932,4.518499851226807,0.0073003768920898,0.0184998512268066,6.871979236602783,3.874708652496338,2.0100064277648926,2.8,4.796004689764295,0.740813984844017,0.740813984844017,52.71,3.33,3.33,750.0,12.0,12.0,116.78486925117512,10.442356557970143
HIP 116454 b,b,HIP 116454,4,2,2014,Transit,K2,Space,2,1,Bonomo et al. 2023,https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract,2023-04-17,0.03178,0.00378,0.00346,0.1139081183134046,0.03177,0.00378,0.00346,0.226,0.016,0.016,0.0707964601769911,9.0949,0.0026,0.0026,0.07765,0.00093,0.00093,Reference,0.089,,,1,51.4,4.3,4.3,745.0,15.0,15.0,88.43,0.4,0.4,,,,Reference,,,,,,,0.635,0.163,0.163,Reference,0.104,0.016,0.016,Reference,,,,2456907.887,0.029,0.029,3.73,0.42,0.42,K2V,5089.0,50.0,50.0,0.72,0.02,0.02,0.76,0.03,0.03,-0.16,0.08,0.08,[Fe/H],,,,,,,,,,,,,,,,10.19,0.03,0.03,8.604,0.021,0.021,8.029,0.021,0.021,62.649200439453125,0.396697998046875,0.2028999328613281,353.9543193085598,0.0169620923697948,0.4446782114867624,0.015082417987287,15.969597715165497,0.0244243722409009,-3.194701910018921,0.1960589736700058,4989.44677734375,2.4990234375,2.22900390625,-0.2949000000953674,0.006300002336502,0.0058000087738037,-0.4758500456809997,0.00657538699183,0.0066584423184394,4.53249979019165,0.0017004013061523,0.0042996406555175,7.463359355926514,2.0017647743225098,1.98490047454834,3.73,3.414182368464541,0.831103596062111,0.8148580437960732,55.45,1.38,1.38,760.0,5.0,5.0,56.56040609836632,5.678687261060198
HIP 29442 b,b,HIP 29442,3,2,2023,Transit,Transiting Exoplanet Survey Satellite (TESS),Space,1,3,Damasso et al. 2023,https://ui.adsabs.harvard.edu/abs/2023arXiv230813310D/abstract,2023-09-05,0.0302,0.00252,0.00252,0.0834437086092715,0.0302,0.00252,0.00252,0.31,0.006,0.007,0.0209677419354838,13.63083,3e-05,3e-05,0.107,0.0016,0.0016,Reference,0.0,,,0,61.0,3.0,3.0,777.0,18.0,18.0,89.3,0.4,0.3,,,,Reference,,,,,,,0.287,0.164,0.123,Reference,0.106,0.008,0.008,Reference,,,,2459210.634,0.001,0.001,2.8,0.2,0.2,K0V,5289.0,69.0,69.0,0.98,0.03,0.03,0.89,0.04,0.04,0.24,0.05,0.05,[Fe/H],-0.155,0.018,0.019,4.39,0.03,0.03,11.7,3.7,3.8,1.94,0.45,0.45,40.0,2.7,2.4,9.49,0.03,0.03,8.056,0.029,0.029,7.587,0.024,0.024,67.82360076904297,0.0951004028320312,0.121002197265625,93.05783325659851,0.009792904369533,-14.649294086656347,0.0106477066874504,14.706508337649488,0.0159343741834163,81.73435974121094,0.1325704902410507,5236.72705078125,8.24609375,6.17138671875,0.1119000017642974,0.0089999958872795,0.0064999982714653,-0.161873772740364,0.0036022399641322,0.0034568924456834,4.425899982452393,0.0015997886657714,0.0012998580932617,,,,2.78,1.2571294522952396,0.1277972137732871,0.1351155245489008,60.17,1.81,1.81,775.0,6.0,6.0,110.55021949599872,7.093252919726788
HIP 29442 c,c,HIP 29442,3,2,2023,Radial Velocity,Paranal Observatory,Ground,1,3,Damasso et al. 2023,https://ui.adsabs.harvard.edu/abs/2023arXiv230813310D/abstract,2023-09-05,0.01416,0.00094,0.00094,0.0663841807909604,0.01413,0.00094,0.00094,0.141,0.009,0.01,0.0673758865248227,3.53796,3e-05,3e-05,0.0436,0.0006,0.0007,Reference,0.0,,,0,373.0,19.0,19.0,1217.0,29.0,29.0,86.3,0.8,0.6,,,,Reference,,,,,,,0.617,0.135,0.102,Reference,0.022,0.003,0.003,Reference,,,,2459207.252,0.004,0.003,2.1,0.1,0.1,K0V,5289.0,69.0,69.0,0.98,0.03,0.03,0.89,0.04,0.04,0.24,0.05,0.05,[Fe/H],-0.155,0.018,0.019,4.39,0.03,0.03,11.7,3.7,3.8,1.94,0.45,0.45,40.0,2.7,2.4,9.49,0.03,0.03,8.056,0.029,0.029,7.587,0.024,0.024,67.82360076904297,0.0951004028320312,0.121002197265625,93.05783325659851,0.009792904369533,-14.649294086656347,0.0106477066874504,14.706508337649488,0.0159343741834163,81.73435974121094,0.1325704902410507,5236.72705078125,8.24609375,6.17138671875,0.1119000017642974,0.0089999958872795,0.0064999982714653,-0.161873772740364,0.0036022399641322,0.0034568924456834,4.425899982452393,0.0015997886657714,0.0012998580932617,,,,2.04,6.264177498744905,1.2695594041399203,1.396169966686617,362.37,10.06,11.7,1214.0,8.0,10.0,34.21000321275788,3.8860280129170808
HIP 97166 b,b,HIP 97166,2,2,2021,Transit,Transiting Exoplanet Survey Satellite (TESS),Space,1,2,MacDougall et al. 2021,http://adsabs.harvard.edu/abs/2021AJ....162..265M,2021-11-09,0.06293,0.00472,0.00472,0.0750039726680438,,,,0.244,0.012,0.012,0.0491803278688524,10.28891,4e-05,4e-05,0.089,0.001,0.001,Reference,0.16,0.03,0.03,0,,,,757.0,25.0,25.0,,,,,,,Reference,,,,120.9,15.5,15.5,0.836,0.027,0.027,Reference,0.089,0.012,0.012,Reference,,,,2458691.6486,0.0007,0.0007,,,,K1V,5198.0,100.0,100.0,0.84,0.04,0.04,0.9,0.05,0.05,0.27,0.09,0.09,[Fe/H],,,,4.41,0.1,0.1,3.33,3.28,3.28,,,,,,,9.92,0.03,0.03,8.386,0.021,0.021,7.923,0.02,0.02,65.96749877929688,0.0429000854492187,0.0427017211914062,296.2446298769106,0.0095451399683952,74.06286151277425,0.0108790369704365,15.14244881479578,0.0103440936654806,-2.2151925563812256,0.1613598763942718,5080.78955078125,1.0009765625,0.931640625,0.2020999938249588,0.0042000114917755,0.0039999932050704,-0.3434094488620758,0.0047918765283561,0.0048434399068355,4.5081000328063965,0.0005998611450195,0.0005998611450195,11.175962448120115,1.7731037139892578,1.7731037139892578,,5.37212850235562,0.8891471174466797,0.8891471174466797,58.0,1.36,1.36,768.0,5.0,5.0,29.505765750551426,5.112703013450007
K2-110 b,b,K2-110,2,3,2017,Transit,K2,Space,1,1,Bonomo et al. 2023,https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract,2023-04-17,0.05003,0.0085,0.0085,0.169898061163302,0.05003,0.0085,0.0085,0.231,0.009,0.009,0.0389610389610389,13.86375,0.00026,0.00026,0.10207,0.00083,0.00083,Reference,0.13,,,1,27.7,2.0,2.0,638.0,11.0,11.0,89.35,0.41,0.24,,,,Reference,,,,,,,0.351,0.221,0.13,Reference,0.112,0.011,0.011,Reference,,,,2457275.32992,0.00061,0.00061,5.25,0.89,0.89,K2V,5010.0,50.0,50.0,0.71,0.02,0.02,0.74,0.02,0.02,-0.34,0.03,0.03,[Fe/H],,,,,,,8.0,3.0,3.0,,,,,,,11.985,0.046,0.046,10.184,0.022,0.022,9.607,0.024,0.024,116.04550170898438,0.189697265625,0.199005126953125,207.34974666296043,0.0126522434875369,-12.284932365259795,0.010828941129148,8.581630394772889,0.0140387853607535,-21.78544807434082,0.5899483561515808,4866.63916015625,6.18115234375,10.3525390625,-0.231900006532669,0.0074000060558319,0.0123999863862991,-0.566047191619873,0.0081380587431624,0.0083950581029057,4.567599773406982,0.0019001960754394,0.0030999183654785,2.630404233932495,2.179001569747925,2.063476800918579,5.22,5.033298685313442,1.0379708308390698,1.0379708308390698,26.07,0.47,0.48,629.0,3.0,3.0,15.773638367593508,1.7877422093120012
